station_id,station_name,oct,nov,dec,jan,feb,mar,apr,may,jun,jul,aug,sep
SCA,SCOTIA,4.33,4.59,4.58,16.23,6.2,5.53,7.97,3.21,1.55,0.0,0.17,0.53
SRR,SIERRAVILLE RS (USFS),2.75,0.64,3.82,3.53,2.87,3.48,3.16,1.04,0.31,0.13,0.0,0.0
SLP,SLY PARK,3.19,1.79,7.1,8.71,4.98,6.72,6.16,6.54,0.04,0.0,0.0,0.0
SSG,SODA SPRINGS 1 E,5.08,2.68,8.98,12.32,6.73,9.02,9.53,5.16,1.02,0.04,0.28,0.12
SOR,SONORA RS,2.88,1.32,5.47,6.43,5.15,3.66,5.76,1.73,0.11,0.0,0.0,0.0
SEY,SOUTH ENTRANCE YOSEMITE,6.42,0.4,7.45,6.96,6.71,3.39,6.98,2.31,0.0,0.0,0.0,0.0
SLK,SOUTH LAKE,2.72,1.5,1.18,3.62,1.65,3.51,7.92,,,,,
SGV,SPRINGVILLE TULE POWERPLANT,2.69,0.78,6.96,5.35,8.27,3.77,6.11,0.37,0.0,0.09,0.0,0.0
SNH,STANDISH HICKEY PARK,4.34,,2.99,18.59,,9.18,11.32,4.73,2.35,,,0.78
STK,STOCKTON FIRE STATION 4,2.22,0.12,1.6,2.62,2.9,1.54,2.77,0.37,0.0,,0.0,
STG,STONY GORGE RESERVOIR,2.56,0.69,2.87,9.26,3.95,1.03,4.01,0.68,0.02,0.0,0.02,0.31
STV,STRAWBERRY VALLEY,6.1,3.9,9.04,20.47,9.6,8.56,13.02,5.72,0.46,0.0,0.3,0.03
SCC,SUCCESS DAM,1.02,0.14,2.82,2.67,3.54,1.25,3.04,0.11,0.0,0.0,0.0,0.0
SSN,SUSANVILLE,2.59,1.4,2.49,,,,,,0.0,0.0,0.0,0.0
TAC,TAHOE CITY (NWS),3.6,0.83,4.07,7.68,2.86,4.03,4.03,1.55,0.44,0.0,0.28,0.02
TRM,TERMINUS DAM,1.5,0.1,3.23,3.71,5.11,1.09,3.53,0.22,0.0,0.0,0.0,0.1
3RV,THREE RIVERS PH NO 1,3.01,0.33,4.75,4.8,6.34,2.75,5.28,0.21,0.0,0.02,0.0,0.0
TCR,TRACY CARBONA,1.5,0.07,1.48,4.13,1.81,1.24,1.28,0.27,0.0,0.0,0.0,0.0
TKE,TRUCKEE RS (OBS),0.24,1.1,5.7,4.8,2.7,3.6,3.9,0.8,0.4,0.03,0.05,0.06
29P,TWENTYNINE PALMS,0.0,0.05,0.74,1.01,0.34,0.8,0.02,0.02,0.0,0.05,0.0,0.0
UKH,UKIAH,3.57,1.75,4.09,11.3,4.38,5.6,5.06,2.19,0.37,0.0,0.0,0.08
VNT,VINTON,1.27,0.57,2.16,2.18,2.5,1.21,1.45,0.86,0.1,0.3,0.15,0.0
VSL,VISALIA,1.47,0.17,1.72,2.04,2.65,0.67,2.06,0.28,0.0,0.0,0.0,0.0
WSC,WASCO,0.0,0.0,1.0,0.05,0.82,0.12,0.45,0.02,0.0,0.0,0.0,0.0
WTW,WATSONVILLE WATER,5.31,0.09,3.65,6.12,5.27,2.33,4.19,0.49,0.02,0.01,0.09,0.0
WVR,WEAVERVILLE RS,2.5,2.34,5.91,10.32,5.29,3.88,6.14,2.69,0.4,0.0,0.19,0.64
WPT,WEST POINT,4.03,1.29,6.91,9.02,5.46,4.74,8.52,3.97,0.08,0.0,0.0,0.0
WDL,WOODLAND 1 WNW,3.83,0.43,2.2,7.43,3.29,1.79,3.47,0.68,,,,
YSV,YOSEMITE HEADQUARTERS,5.87,0.6,8.64,7.24,6.54,4.5,7.46,1.56,0.0,0.01,0.0,0.0
YRK,YREKA,0.2,1.5,1.45,3.41,1.21,1.91,3.11,0.6,0.5,1.27,0.06,0.47
